;Data da Venda;Nome do Produto;Nome da Loja;Quantidade Vendida;ID Loja
0;2017-01-01;A. Datum Advanced Digital Camera M300 Pink;Loja Contoso Austin ;9;86
202;2017-01-01;SV Car Video LCD7W M7081 Brown;Loja Contoso Austin ;9;86
219;2017-01-01;Contoso Reserve Pen -Tablet Pen E200 Blue;Loja Contoso Austin ;4;86
362;2017-01-01;Proseware Office Jet All-in-One Printer M500 Black;Loja Contoso Austin ;9;86
436;2017-01-01;Contoso KSU-less key system M38 Black;Loja Contoso Austin ;9;86
1354;2017-01-01;Contoso Carrying Case E312 Blue;Loja Contoso Austin ;4;86
1461;2017-01-01;A. Datum Interchangeable lens Non-SLR Digital Camera X250 Black;Loja Contoso Austin ;9;86
1469;2017-01-01;Contoso Home Theater System 2.1 Channel M1210 Silver;Loja Contoso Austin ;9;86
1491;2017-01-01;Contoso Private Automatic Branch Exchange M65 Black;Loja Contoso Austin ;9;86
1542;2017-01-01;The Phone Company PDA Phone 4.7 inches L360 White;Loja Contoso Austin ;9;86
1654;2017-01-01;The Phone Company PDA GPS Phone 4.7 inch L950 Black;Loja Contoso Austin ;9;86
4939;2017-01-03;"Contoso SLR Camera 35"" M358 Pink";Loja Contoso Austin ;9;86
4940;2017-01-03;"A. Datum SLR Camera 35"" M358 Pink";Loja Contoso Austin ;9;86
4971;2017-01-03;SV DVD 15-Inch Player Portable L200 Silver;Loja Contoso Austin ;9;86
4981;2017-01-03;Adventure Works Laptop15 M1501 Blue;Loja Contoso Austin ;9;86
5191;2017-01-03;SV Keyboard E90 Silver;Loja Contoso Austin ;4;86
5264;2017-01-03;The Phone Company Smart phones Unlocked International M800 Pink;Loja Contoso Austin ;9;86
5349;2017-01-03;SV Car Video TFT7 M7000 Brown;Loja Contoso Austin ;9;86
6501;2017-01-03;Contoso Hybrid system M60 White;Loja Contoso Austin ;9;86
10030;2017-01-05;The Phone Company PDA Palm 4.7 inch L850 Black;Loja Contoso Austin ;9;86
10067;2017-01-05;SV Car Video LCD7W M7080 Silver;Loja Contoso Austin ;9;86
11498;2017-01-05;Proseware All-In-One Photo Printer M200 Grey;Loja Contoso Austin ;18;86
11614;2017-01-05;Adventure Works LCD15 E100 Black;Loja Contoso Austin ;4;86
11640;2017-01-05;Contoso Desktop Alternative Bundle E200 Black;Loja Contoso Austin ;4;86
11671;2017-01-05;Proseware CRT17 E104 Black;Loja Contoso Austin ;4;86
11970;2017-01-06;Contoso Electronic Private Automatic Branch Exchange M90 Black;Loja Contoso Austin ;9;86
12067;2017-01-06;Contoso Ultraportable Neoprene Sleeve E30 Yellow;Loja Contoso Austin ;4;86
12335;2017-01-06;A. Datum Point Shoot Digital Camera M500 Green;Loja Contoso Austin ;9;86
12440;2017-01-06;The Phone Company Pen Touch Screen Phones M320 Gold;Loja Contoso Austin ;9;86
12863;2017-01-06;Litware Home Theater System 2.1 Channel E210 Silver;Loja Contoso Austin ;4;86
13112;2017-01-06;Proseware Office Jet All-in-One Printer M500 White;Loja Contoso Austin ;9;86
13285;2017-01-06;A. Datum Compact Digital Camera M200 Green;Loja Contoso Austin ;4;86
13344;2017-01-06;Contoso Home Theater System 4.1 Channel M1400 White;Loja Contoso Austin ;9;86
13348;2017-01-06;Contoso Home Theater System 2.1 Channel M1210 Brown;Loja Contoso Austin ;9;86
19191;2017-01-09;Proseware Office Jet Wireless All-in-One Inkjet Printer M600 Black;Loja Contoso Austin ;9;86
19362;2017-01-09;Contoso USB 2.0 Dock Station docking station M800 Black;Loja Contoso Austin ;9;86
